record_id,snapshot_date,segment,source_id,list_position,irc_status_prefixes,display_nickname,raw_line,privacy_classification,civil_identity_linked,sensitive_data_included,normalized_duplicate_count
cb_20021128_0890,2002-11-28,male,canalbarra_cadastros_20021128_male,890,,Thiago_Barra_UFRJ,Thiago_Barra_UFRJ,historical_public_nickname,false,false,1
cb_20021128_0891,2002-11-28,male,canalbarra_cadastros_20021128_male,891,,ThIaGo_du_PaN,ThIaGo_du_PaN,historical_public_nickname,false,false,1
cb_20021128_0892,2002-11-28,male,canalbarra_cadastros_20021128_male,892,,ThiagoPozzato,ThiagoPozzato,historical_public_nickname,false,false,1
cb_20021128_0893,2002-11-28,male,canalbarra_cadastros_20021128_male,893,,THIAMAT,THIAMAT,historical_public_nickname,false,false,1
cb_20021128_0894,2002-11-28,male,canalbarra_cadastros_20021128_male,894,,Thico,Thico,historical_public_nickname,false,false,1
cb_20021128_0895,2002-11-28,male,canalbarra_cadastros_20021128_male,895,,Tiago19zs,Tiago19zs,historical_public_nickname,false,false,1
cb_20021128_0896,2002-11-28,male,canalbarra_cadastros_20021128_male,896,,TICO-P2,TICO-P2,historical_public_nickname,false,false,1
cb_20021128_0897,2002-11-28,male,canalbarra_cadastros_20021128_male,897,,TIEH,TIEH,historical_public_nickname,false,false,1
cb_20021128_0898,2002-11-28,male,canalbarra_cadastros_20021128_male,898,,TiG3r,TiG3r,historical_public_nickname,false,false,1
cb_20021128_0899,2002-11-28,male,canalbarra_cadastros_20021128_male,899,,Tigo,Tigo,historical_public_nickname,false,false,1
cb_20021128_0900,2002-11-28,male,canalbarra_cadastros_20021128_male,900,,TiGo_19_Marrentinho,TiGo_19_Marrentinho,historical_public_nickname,false,false,1
cb_20021128_0901,2002-11-28,male,canalbarra_cadastros_20021128_male,901,,Tigrao_da_Barra,Tigrao_da_Barra,historical_public_nickname,false,false,1
cb_20021128_0902,2002-11-28,male,canalbarra_cadastros_20021128_male,902,,tigraoo,tigraoo,historical_public_nickname,false,false,1
cb_20021128_0903,2002-11-28,male,canalbarra_cadastros_20021128_male,903,,TiiiGooo,TiiiGooo,historical_public_nickname,false,false,1
cb_20021128_0904,2002-11-28,male,canalbarra_cadastros_20021128_male,904,,Tinhow_Tricolor_Glória,Tinhow_Tricolor_Glória,historical_public_nickname,false,false,1
cb_20021128_0905,2002-11-28,male,canalbarra_cadastros_20021128_male,905,,titu,titu,historical_public_nickname,false,false,1
cb_20021128_0906,2002-11-28,male,canalbarra_cadastros_20021128_male,906,,Toddynho_Elite,Toddynho_Elite,historical_public_nickname,false,false,1
cb_20021128_0907,2002-11-28,male,canalbarra_cadastros_20021128_male,907,,ToM_DeL0NgE_182,ToM_DeL0NgE_182,historical_public_nickname,false,false,1
cb_20021128_0908,2002-11-28,male,canalbarra_cadastros_20021128_male,908,,TomCruise_,TomCruise_,historical_public_nickname,false,false,1
cb_20021128_0909,2002-11-28,male,canalbarra_cadastros_20021128_male,909,,ToNnY_ReCrEiO,ToNnY_ReCrEiO,historical_public_nickname,false,false,1
cb_20021128_0910,2002-11-28,male,canalbarra_cadastros_20021128_male,910,,TonyPENHA,TonyPENHA,historical_public_nickname,false,false,1
cb_20021128_0911,2002-11-28,male,canalbarra_cadastros_20021128_male,911,,Tow,Tow,historical_public_nickname,false,false,1
cb_20021128_0912,2002-11-28,male,canalbarra_cadastros_20021128_male,912,,Transeunte,Transeunte,historical_public_nickname,false,false,1
cb_20021128_0913,2002-11-28,male,canalbarra_cadastros_20021128_male,913,,TrEkO,TrEkO,historical_public_nickname,false,false,1
cb_20021128_0914,2002-11-28,male,canalbarra_cadastros_20021128_male,914,,Trovao-RJ,Trovao-RJ,historical_public_nickname,false,false,1
cb_20021128_0915,2002-11-28,male,canalbarra_cadastros_20021128_male,915,,Usher,Usher,historical_public_nickname,false,false,1
cb_20021128_0916,2002-11-28,male,canalbarra_cadastros_20021128_male,916,,UsherTatoo,UsherTatoo,historical_public_nickname,false,false,1
cb_20021128_0917,2002-11-28,male,canalbarra_cadastros_20021128_male,917,,valente,valente,historical_public_nickname,false,false,1
cb_20021128_0918,2002-11-28,male,canalbarra_cadastros_20021128_male,918,,Van_Damme-RJ,Van_Damme-RJ,historical_public_nickname,false,false,1
cb_20021128_0919,2002-11-28,male,canalbarra_cadastros_20021128_male,919,,Vascaino-RJ,Vascaino-RJ,historical_public_nickname,false,false,1
cb_20021128_0920,2002-11-28,male,canalbarra_cadastros_20021128_male,920,,Vicente-RJ,Vicente-RJ,historical_public_nickname,false,false,1
cb_20021128_0921,2002-11-28,male,canalbarra_cadastros_20021128_male,921,,victor__RJ2,victor__RJ2,historical_public_nickname,false,false,1
cb_20021128_0922,2002-11-28,male,canalbarra_cadastros_20021128_male,922,,ViCtOr_BaRrA,ViCtOr_BaRrA,historical_public_nickname,false,false,1
cb_20021128_0923,2002-11-28,male,canalbarra_cadastros_20021128_male,923,,Vinicius_Leblon,Vinicius_Leblon,historical_public_nickname,false,false,1
cb_20021128_0924,2002-11-28,male,canalbarra_cadastros_20021128_male,924,,Vinny-Barra,Vinny-Barra,historical_public_nickname,false,false,1
cb_20021128_0925,2002-11-28,male,canalbarra_cadastros_20021128_male,925,,Vinny-RJ,Vinny-RJ,historical_public_nickname,false,false,1
